position_id,company_name,location_state,location_city,role_title,skills_required,experience_required,salary_range,description
1,Tech Mahindra,Assam,Chandigarh,Backend Developer,"Cloud, Data Analysis, Machine Learning",5 years,11 LPA,"Hiring for DevOps Engineer role with skills in Data Analysis, React."
2,TCS,Bihar,Patna,Frontend Developer,"DevOps, CSS, Cloud",1 years,3 LPA,"Hiring for Frontend Developer role with skills in Java, Node.js."
3,Axis Bank,Andhra Pradesh,Chennai,DevOps Engineer,"Python, HTML, Node.js, Flask, Data Analysis",3 years,6 LPA,"Hiring for Data Scientist role with skills in Python, Django."
4,Tech Mahindra,West Bengal,Visakhapatnam,Data Scientist,"C++, Machine Learning, Node.js, Data Analysis",3 years,6 LPA,"Hiring for Data Scientist role with skills in SQL, JavaScript."
5,PhonePe,Bihar,Kochi,Business Analyst,"Cloud, C++, Data Analysis",5 years,7 LPA,"Hiring for Software Engineer role with skills in Django, CSS."
6,Axis Bank,Telangana,Hyderabad,Data Scientist,"SQL, Node.js, Flask, HTML",2 years,6 LPA,"Hiring for Business Analyst role with skills in DevOps, React."
7,Reliance Jio,Bihar,Mysuru,Data Scientist,"Python, Java, Node.js, Data Analysis",0 years,7 LPA,"Hiring for Software Engineer role with skills in DevOps, Machine Learning."
8,Zomato,Maharashtra,Patna,Frontend Developer,"CSS, HTML, Machine Learning, Django",1 years,8 LPA,"Hiring for Backend Developer role with skills in CSS, Cloud."
9,Byju's,Odisha,Hyderabad,DevOps Engineer,"Cloud, Flask, SQL, Java, React",2 years,4 LPA,"Hiring for Software Engineer role with skills in CSS, Django."
10,TCS,Karnataka,Bhopal,Software Engineer,"Node.js, DevOps, JavaScript, Flask, Cloud",2 years,11 LPA,"Hiring for Business Analyst role with skills in HTML, Flask."
11,Reliance Jio,Tamil Nadu,Ahmedabad,DevOps Engineer,"Node.js, Flask, Python",2 years,8 LPA,"Hiring for Data Scientist role with skills in HTML, CSS."
12,Cognizant India,Madhya Pradesh,Kolkata,Software Engineer,"Node.js, Cloud, Python, SQL",0 years,6 LPA,"Hiring for Backend Developer role with skills in HTML, Machine Learning."
13,Zomato,Assam,Hyderabad,Business Analyst,"C++, Python, Java",5 years,12 LPA,"Hiring for Frontend Developer role with skills in Node.js, CSS."
14,Accenture India,Haryana,Lucknow,Backend Developer,"Flask, Machine Learning, Django",0 years,5 LPA,"Hiring for Software Engineer role with skills in Flask, HTML."
15,TCS,Goa,Kolkata,Data Scientist,"Node.js, DevOps, SQL",3 years,5 LPA,"Hiring for Software Engineer role with skills in Python, C++."
16,HDFC Bank,Kerala,Mysuru,Backend Developer,"SQL, React, HTML",0 years,6 LPA,"Hiring for Frontend Developer role with skills in Machine Learning, Django."
17,Reliance Jio,Jharkhand,Hyderabad,Frontend Developer,"HTML, Flask, Data Analysis, React",1 years,11 LPA,"Hiring for DevOps Engineer role with skills in Data Analysis, Machine Learning."
18,TCS,Punjab,Visakhapatnam,Backend Developer,"HTML, CSS, Machine Learning",4 years,5 LPA,"Hiring for Frontend Developer role with skills in DevOps, Data Analysis."
19,Reliance Jio,Rajasthan,Pune,Business Analyst,"CSS, Cloud, React",0 years,12 LPA,"Hiring for Data Scientist role with skills in Flask, Data Analysis."
20,Flipkart,Jharkhand,Bhopal,Business Analyst,"Data Analysis, Cloud, JavaScript, Java, DevOps",5 years,9 LPA,"Hiring for Software Engineer role with skills in Django, Python."
21,Infosys,Haryana,Mysuru,Data Scientist,"HTML, React, C++",5 years,10 LPA,"Hiring for DevOps Engineer role with skills in DevOps, React."
22,Mindtree,Madhya Pradesh,Visakhapatnam,DevOps Engineer,"Java, Cloud, JavaScript, Django, React",1 years,6 LPA,"Hiring for DevOps Engineer role with skills in Cloud, Python."
23,Byju's,Goa,Patna,Software Engineer,"Python, Cloud, C++",1 years,10 LPA,"Hiring for Frontend Developer role with skills in Cloud, React."
24,Paytm,Bihar,Chandigarh,Backend Developer,"Java, DevOps, Flask",3 years,7 LPA,"Hiring for Software Engineer role with skills in Data Analysis, DevOps."
25,Mindtree,Tamil Nadu,Kolkata,Frontend Developer,"Data Analysis, Flask, Python, Machine Learning, Cloud",5 years,9 LPA,"Hiring for Backend Developer role with skills in JavaScript, Django."
26,Axis Bank,Andhra Pradesh,Lucknow,Data Scientist,"React, HTML, Node.js",4 years,7 LPA,"Hiring for Data Scientist role with skills in Python, CSS."
27,Paytm,Haryana,Bengaluru,Frontend Developer,"DevOps, HTML, Cloud",4 years,11 LPA,"Hiring for Data Scientist role with skills in C++, DevOps."
28,Mindtree,Chhattisgarh,Lucknow,Frontend Developer,"Flask, SQL, JavaScript, C++, Machine Learning",4 years,3 LPA,"Hiring for Data Scientist role with skills in SQL, Flask."
29,Mindtree,Madhya Pradesh,Visakhapatnam,Business Analyst,"HTML, Cloud, C++",5 years,7 LPA,"Hiring for Backend Developer role with skills in Machine Learning, SQL."
30,L&T Infotech,Uttar Pradesh,Visakhapatnam,DevOps Engineer,"JavaScript, CSS, React, Node.js",1 years,9 LPA,"Hiring for DevOps Engineer role with skills in SQL, Python."
31,TCS,Karnataka,Nagpur,Business Analyst,"Machine Learning, Flask, React, DevOps, Cloud",0 years,12 LPA,"Hiring for Software Engineer role with skills in Django, Flask."
32,Tech Mahindra,Delhi,Kolkata,Frontend Developer,"Machine Learning, Cloud, JavaScript, Flask, React",3 years,7 LPA,"Hiring for Business Analyst role with skills in HTML, React."
33,Mindtree,Uttar Pradesh,Bhopal,DevOps Engineer,"C++, Django, JavaScript, Java, CSS",5 years,12 LPA,"Hiring for Backend Developer role with skills in CSS, HTML."
34,Mindtree,Gujarat,Chandigarh,Data Scientist,"SQL, HTML, C++, Cloud",0 years,4 LPA,"Hiring for Business Analyst role with skills in Data Analysis, DevOps."
35,Wipro,Jharkhand,Ahmedabad,Frontend Developer,"Cloud, Node.js, Python, Django",1 years,6 LPA,"Hiring for DevOps Engineer role with skills in DevOps, React."
36,Accenture India,Chhattisgarh,Hyderabad,Business Analyst,"Data Analysis, Node.js, DevOps, HTML, Cloud",5 years,8 LPA,"Hiring for Data Scientist role with skills in Node.js, Django."
37,Accenture India,Goa,Visakhapatnam,DevOps Engineer,"JavaScript, Machine Learning, Django, Node.js, HTML",1 years,9 LPA,"Hiring for Business Analyst role with skills in Cloud, JavaScript."
38,ICICI Bank,Madhya Pradesh,Bengaluru,Data Scientist,"JavaScript, Python, Machine Learning, React",5 years,3 LPA,"Hiring for DevOps Engineer role with skills in Python, HTML."
39,Ola,Gujarat,Pune,Software Engineer,"C++, Node.js, CSS, Machine Learning, SQL",4 years,8 LPA,"Hiring for Software Engineer role with skills in CSS, Java."
40,Paytm,Jharkhand,Hyderabad,Backend Developer,"Machine Learning, Django, JavaScript",5 years,3 LPA,"Hiring for Data Scientist role with skills in Cloud, DevOps."
41,L&T Infotech,Uttar Pradesh,Mysuru,Frontend Developer,"Flask, C++, Java, DevOps, Python",2 years,12 LPA,"Hiring for Frontend Developer role with skills in DevOps, Cloud."
42,HDFC Bank,Kerala,Ahmedabad,Data Scientist,"Node.js, Flask, Django",2 years,11 LPA,"Hiring for Data Scientist role with skills in DevOps, Node.js."
43,HDFC Bank,Maharashtra,Visakhapatnam,Frontend Developer,"SQL, Data Analysis, DevOps",2 years,6 LPA,"Hiring for Data Scientist role with skills in HTML, Django."
44,Paytm,Kerala,Pune,Frontend Developer,"JavaScript, Machine Learning, Flask, C++",0 years,5 LPA,"Hiring for Data Scientist role with skills in React, Node.js."
45,Wipro,Rajasthan,Bengaluru,Backend Developer,"Data Analysis, Node.js, Flask",2 years,4 LPA,"Hiring for Backend Developer role with skills in DevOps, CSS."
46,Wipro,Delhi,Kolkata,Frontend Developer,"React, Django, Python",1 years,5 LPA,"Hiring for Software Engineer role with skills in Data Analysis, Flask."
47,Flipkart,Bihar,Bhopal,Software Engineer,"Django, Machine Learning, C++, HTML, Python",4 years,9 LPA,"Hiring for Backend Developer role with skills in Data Analysis, DevOps."
48,Infosys,Delhi,Jaipur,DevOps Engineer,"JavaScript, Django, Data Analysis, DevOps",5 years,12 LPA,"Hiring for Software Engineer role with skills in JavaScript, Data Analysis."
49,Reliance Jio,Madhya Pradesh,Jaipur,Backend Developer,"Java, React, JavaScript, HTML",5 years,8 LPA,"Hiring for DevOps Engineer role with skills in JavaScript, C++."
50,Accenture India,Kerala,Hyderabad,Data Scientist,"SQL, Django, Machine Learning, CSS, C++",1 years,12 LPA,"Hiring for Backend Developer role with skills in Machine Learning, Java."
51,Byju's,Goa,Chandigarh,Frontend Developer,"Machine Learning, HTML, Python, Node.js, Java",2 years,9 LPA,"Hiring for Software Engineer role with skills in DevOps, Node.js."
52,Infosys,Goa,Lucknow,DevOps Engineer,"JavaScript, Cloud, Machine Learning",0 years,4 LPA,"Hiring for DevOps Engineer role with skills in React, HTML."
53,Tech Mahindra,Assam,Bengaluru,Backend Developer,"Data Analysis, SQL, Node.js, Flask",1 years,11 LPA,"Hiring for Business Analyst role with skills in Node.js, Data Analysis."
54,Ola,Andhra Pradesh,Kolkata,Backend Developer,"DevOps, Python, CSS, C++",3 years,12 LPA,"Hiring for Frontend Developer role with skills in C++, JavaScript."
55,Capgemini India,Goa,Lucknow,Data Scientist,"SQL, Data Analysis, React, Django",0 years,4 LPA,"Hiring for Business Analyst role with skills in Python, Django."
56,L&T Infotech,Tamil Nadu,Visakhapatnam,Software Engineer,"Machine Learning, Cloud, Django",1 years,10 LPA,"Hiring for DevOps Engineer role with skills in Node.js, React."
57,Byju's,Uttar Pradesh,Pune,Backend Developer,"DevOps, JavaScript, Machine Learning, Data Analysis, Java",3 years,7 LPA,"Hiring for Software Engineer role with skills in Machine Learning, Node.js."
58,Zomato,Haryana,Chennai,Software Engineer,"HTML, React, Cloud, Machine Learning",2 years,11 LPA,"Hiring for DevOps Engineer role with skills in Flask, DevOps."
59,Zomato,Chhattisgarh,Mysuru,Business Analyst,"React, C++, HTML, Java",4 years,9 LPA,"Hiring for Data Scientist role with skills in Java, C++."
60,TCS,Haryana,Chandigarh,DevOps Engineer,"DevOps, React, Cloud, SQL, C++",0 years,5 LPA,"Hiring for Frontend Developer role with skills in DevOps, Cloud."
61,Axis Bank,Karnataka,Pune,Business Analyst,"C++, Django, CSS",2 years,7 LPA,"Hiring for Backend Developer role with skills in Cloud, JavaScript."
62,L&T Infotech,Bihar,Bhopal,Backend Developer,"Python, Node.js, Data Analysis, SQL",0 years,4 LPA,"Hiring for Frontend Developer role with skills in Flask, JavaScript."
63,L&T Infotech,Haryana,Bengaluru,Software Engineer,"HTML, Machine Learning, React, Cloud",2 years,9 LPA,"Hiring for Backend Developer role with skills in Data Analysis, HTML."
64,Accenture India,Rajasthan,Lucknow,DevOps Engineer,"Node.js, React, Data Analysis",2 years,6 LPA,"Hiring for Frontend Developer role with skills in Data Analysis, React."
65,L&T Infotech,Maharashtra,Nagpur,Data Scientist,"DevOps, Django, React",0 years,7 LPA,"Hiring for Backend Developer role with skills in React, Node.js."
66,PhonePe,Goa,Kochi,Business Analyst,"CSS, JavaScript, Machine Learning, DevOps",3 years,10 LPA,"Hiring for Business Analyst role with skills in React, JavaScript."
67,Axis Bank,Gujarat,Mysuru,Business Analyst,"Cloud, Python, JavaScript, DevOps, SQL",2 years,12 LPA,"Hiring for Software Engineer role with skills in JavaScript, CSS."
68,HCL Technologies,Goa,Kochi,Software Engineer,"Data Analysis, C++, JavaScript, Java, SQL",2 years,12 LPA,"Hiring for Frontend Developer role with skills in Machine Learning, Python."
69,Flipkart,Assam,Hyderabad,Business Analyst,"React, SQL, Data Analysis, CSS, Machine Learning",0 years,9 LPA,"Hiring for DevOps Engineer role with skills in CSS, Machine Learning."
70,PhonePe,Andhra Pradesh,Bhopal,Data Scientist,"Node.js, Data Analysis, Machine Learning",5 years,12 LPA,"Hiring for Data Scientist role with skills in SQL, Data Analysis."
71,Paytm,Chhattisgarh,Mysuru,Data Scientist,"Java, C++, Flask",3 years,5 LPA,"Hiring for Software Engineer role with skills in Machine Learning, CSS."
72,TCS,Madhya Pradesh,Bhopal,Software Engineer,"Node.js, Cloud, Machine Learning, C++",4 years,3 LPA,"Hiring for Backend Developer role with skills in Flask, React."
73,L&T Infotech,Jharkhand,Chandigarh,Frontend Developer,"SQL, DevOps, Flask",1 years,11 LPA,"Hiring for Data Scientist role with skills in CSS, Machine Learning."
74,Wipro,Maharashtra,Mumbai,Backend Developer,"Node.js, DevOps, Java, Python",4 years,5 LPA,"Hiring for Frontend Developer role with skills in CSS, Node.js."
75,Tech Mahindra,Assam,Nagpur,Software Engineer,"Java, CSS, Django, Flask, Data Analysis",2 years,6 LPA,"Hiring for Backend Developer role with skills in Node.js, Flask."
76,Flipkart,Madhya Pradesh,Pune,Business Analyst,"Data Analysis, HTML, SQL",2 years,5 LPA,"Hiring for Frontend Developer role with skills in CSS, Node.js."
77,Capgemini India,Gujarat,Kolkata,Business Analyst,"Cloud, C++, Django, HTML",3 years,9 LPA,"Hiring for Frontend Developer role with skills in Flask, CSS."
78,ICICI Bank,Goa,Hyderabad,Backend Developer,"Cloud, Machine Learning, Flask, CSS",1 years,11 LPA,"Hiring for Frontend Developer role with skills in DevOps, Python."
79,Zomato,Goa,Chennai,Business Analyst,"Machine Learning, JavaScript, SQL",5 years,5 LPA,"Hiring for Data Scientist role with skills in Node.js, DevOps."
80,Cognizant India,Rajasthan,Bengaluru,Business Analyst,"SQL, Cloud, Flask, HTML, Data Analysis",2 years,5 LPA,"Hiring for Frontend Developer role with skills in Flask, Data Analysis."
81,Wipro,Telangana,Jaipur,Business Analyst,"Cloud, Python, Java, C++",2 years,4 LPA,"Hiring for Data Scientist role with skills in C++, JavaScript."
82,L&T Infotech,Tamil Nadu,Pune,Data Scientist,"JavaScript, DevOps, SQL, CSS",2 years,3 LPA,"Hiring for Frontend Developer role with skills in Node.js, CSS."
83,Cognizant India,Andhra Pradesh,Nagpur,Frontend Developer,"Python, Java, Flask",5 years,11 LPA,"Hiring for Business Analyst role with skills in Java, C++."
84,Zomato,West Bengal,Lucknow,Business Analyst,"DevOps, Machine Learning, HTML, Python",2 years,7 LPA,"Hiring for Business Analyst role with skills in Node.js, Cloud."
85,Axis Bank,Chhattisgarh,Bhopal,Business Analyst,"Django, CSS, SQL, DevOps",1 years,7 LPA,"Hiring for Business Analyst role with skills in Machine Learning, Django."
86,Flipkart,Uttar Pradesh,Ahmedabad,Software Engineer,"React, HTML, SQL",2 years,9 LPA,"Hiring for DevOps Engineer role with skills in HTML, JavaScript."
87,HCL Technologies,Uttar Pradesh,Pune,Backend Developer,"Flask, HTML, Machine Learning, Cloud, JavaScript",4 years,5 LPA,"Hiring for Data Scientist role with skills in Flask, JavaScript."
88,Flipkart,Haryana,Nagpur,Software Engineer,"Python, React, Cloud",0 years,3 LPA,"Hiring for Business Analyst role with skills in C++, Data Analysis."
89,Reliance Jio,Assam,Kochi,Data Scientist,"JavaScript, React, Java",1 years,3 LPA,"Hiring for Software Engineer role with skills in Data Analysis, C++."
90,Wipro,Kerala,Bengaluru,Backend Developer,"Node.js, Machine Learning, React",5 years,6 LPA,"Hiring for Data Scientist role with skills in Node.js, JavaScript."
91,Tech Mahindra,Assam,Ahmedabad,Business Analyst,"DevOps, Cloud, Node.js, Data Analysis, Java",3 years,6 LPA,"Hiring for DevOps Engineer role with skills in Cloud, DevOps."
92,ICICI Bank,Delhi,Ahmedabad,Frontend Developer,"Django, Node.js, JavaScript",2 years,6 LPA,"Hiring for Frontend Developer role with skills in CSS, Python."
93,L&T Infotech,Assam,Patna,Software Engineer,"DevOps, React, Machine Learning, CSS, Node.js",0 years,6 LPA,"Hiring for DevOps Engineer role with skills in Django, SQL."
94,Ola,Delhi,Mysuru,Backend Developer,"Data Analysis, Machine Learning, Django",1 years,12 LPA,"Hiring for Backend Developer role with skills in HTML, CSS."
95,Tech Mahindra,Uttar Pradesh,Mumbai,Business Analyst,"Python, Django, CSS, Cloud",1 years,12 LPA,"Hiring for Business Analyst role with skills in Java, Python."
96,Wipro,Rajasthan,Bengaluru,Software Engineer,"Cloud, Node.js, Python, Django",5 years,7 LPA,"Hiring for Frontend Developer role with skills in React, DevOps."
97,ICICI Bank,West Bengal,Nagpur,Frontend Developer,"CSS, Machine Learning, Python, Django",2 years,6 LPA,"Hiring for Business Analyst role with skills in Python, Java."
98,Zomato,Jharkhand,Hyderabad,DevOps Engineer,"Python, Flask, SQL, DevOps, Data Analysis",0 years,6 LPA,"Hiring for Frontend Developer role with skills in React, Django."
99,Tech Mahindra,Bihar,Hyderabad,Data Scientist,"Node.js, CSS, React, JavaScript, Python",1 years,12 LPA,"Hiring for Frontend Developer role with skills in Flask, Cloud."
100,Flipkart,Punjab,Nagpur,DevOps Engineer,"Flask, SQL, DevOps, JavaScript, Cloud",0 years,10 LPA,"Hiring for Frontend Developer role with skills in HTML, Machine Learning."
